MouseID,DYRK1A_N,ITSN1_N,BDNF_N,NR1_N,NR2A_N,pAKT_N,pBRAF_N,pCAMKII_N,pCREB_N,pELK_N,pERK_N,pJNK_N,PKCA_N,pMEK_N,pNR1_N,pNR2A_N,pNR2B_N,pPKCAB_N,pRSK_N,AKT_N,BRAF_N,CAMKII_N,CREB_N,ELK_N,ERK_N,GSK3B_N,JNK_N,MEK_N,TRKA_N,RSK_N,APP_N,Bcatenin_N,SOD1_N,MTOR_N,P38_N,pMTOR_N,DSCR1_N,AMPKA_N,NR2B_N,pNUMB_N,RAPTOR_N,TIAM1_N,pP70S6_N,NUMB_N,P70S6_N,pGSK3B_N,pPKCG_N,CDK5_N,S6_N,ADARB1_N,AcetylH3K9_N,RRP1_N,BAX_N,ARC_N,ERBB4_N,nNOS_N,Tau_N,GFAP_N,GluR3_N,GluR4_N,IL1B_N,P3525_N,pCASP9_N,PSD95_N,SNCA_N,Ubiquitin_N,pGSK3B_Tyr216_N,SHH_N,BAD_N,BCL2_N,pS6_N,pCFOS_N,SYP_N,H3AcK18_N,EGR1_N,H3MeK4_N,CaNA_N,Genotype,Treatment,Behavior,class
50810D_14,0.33010045,0.504156564,0.260824385,1.960339453,2.795981988,0.198995497,0.147904399,2.130585383,0.160200901,1.093869068,0.481815033,0.220990648,0.318150329,0.205749913,0.704364392,0.430031174,1.210772428,1.771908556,0.501731902,0.545549013,0.266539661,0.283339106,0.147558019,0.818323519,1.831312781,1.104260478,0.193107032,0.205576723,0.509525459,0.136993419,0.327848978,1.582958088,0.248008313,0.397817804,0.402667129,0.643228265,0.452545895,0.333910634,0.498787669,0.358676827,0.280914444,0.351922411,0.375649463,0.173367138,0.869371001,0.180852348,2.125437643,0.272727273,0.441265242,0.982252807,0.116986599,0.172039116,0.179162139,0.094893155,0.140166606,0.148979838,0.147772546,0.121815767,0.236146324,0.13050827,0.445852952,0.262706749,1.422431486,1.975250513,0.138476397,1.032476156,0.903778824,0.220813715,0.138838585,0.115779307,0.094893155,0.131111916,0.348424484,0.141977544,0.201497042,0.171676929,1.56899674,Control,Saline,C/S,c-CS-s
50810D_15,0.330531732,0.47838765,0.246312178,2.004116638,2.654545455,0.17186964,0.145283019,1.894682676,0.160205832,1.028987993,0.415437393,0.222813036,0.297255575,0.209948542,0.690394511,0.428816467,1.203602058,1.839279588,0.469468268,0.569639794,0.28542024,0.276843911,0.146312178,0.873413379,1.805831904,1.062435678,0.191080617,0.209605489,0.513722127,0.132418525,0.305660377,1.549056604,0.230360206,0.386277873,0.400857633,0.632761578,0.440480274,0.327787307,0.468096055,0.333790738,0.268267581,0.350600343,0.366380789,0.175493773,0.915712668,0.180022644,2.149955969,0.275883759,0.442193987,0.986539187,0.12466977,0.170461693,0.184677318,0.1012706,0.131840483,0.142659454,0.147943138,0.132343691,0.235375519,0.118002264,0.444081016,0.261919738,1.468738206,1.964272236,0.136243553,1.034469745,0.871430369,0.217637439,0.148446345,0.119763492,0.1012706,0.136872563,0.395898855,0.123914958,0.184677318,0.22405334,1.571392628,Control,Saline,C/S,c-CS-s
50810F_1,0.527894003,0.634588563,0.335251046,2.356171548,5.059100418,0.250174338,0.203103208,3.761157601,0.234658298,1.543410042,0.804567643,0.331066946,0.324790795,0.306136681,0.82653417,0.794979079,1.730648536,1.555962343,0.457810321,0.772838215,0.469839609,0.435843794,0.201359833,1.222105997,2.966875872,1.103730823,0.276324965,0.285913529,0.738493724,0.198396095,0.40027894,2.318514644,0.340481172,0.374128312,0.284518828,0.758891213,0.593096234,0.412656904,0.515167364,0.481520223,0.335076709,0.418584379,0.218793584,0.201832208,0.841080039,0.167791707,0.886788814,0.312729026,0.669527483,0.979074253,0.115429122,0.169816779,0.188813886,0.109836066,0.135969142,0.150626808,0.146480231,0.129604629,0.191321119,0.108871745,0.343297975,0.220443587,1.162777242,2.090356798,0.13972999,0.972999036,0.597782064,0.181388621,0,0,0.109836066,0.092864031,0.299903568,0,0,0,1.412825458,Control,Saline,C/S,c-CS-s
50810F_2,0.566171389,0.634761576,0.34122322,2.321181755,5.121458189,0.244298549,0.192639945,3.768140981,0.234968901,1.485832757,0.797857636,0.331720802,0.297684865,0.306841742,0.843642018,0.776779544,1.732550104,1.534899793,0.461472011,0.809087768,0.49308915,0.428645473,0.188320663,1.149965446,3.00414651,1.104008293,0.27902557,0.308914997,0.726330339,0.195404285,0.402038701,2.333448514,0.333102972,0.382861092,0.280753283,0.753628196,0.599861783,0.408258466,0.516931583,0.465272979,0.315134762,0.403939185,0.215272979,0.203711015,0.880477694,0.173410975,0.882649033,0.323628109,0.67745756,0.970983024,0.115870509,0.181602842,0.190584287,0.11547572,0.13837347,0.151894986,0.151204106,0.132352941,0.188511646,0.111725227,0.367153573,0.227200947,1.196210028,2.153079353,0.146170549,0.987070667,0.628701145,0.189103829,0,0,0.11547572,0.092479274,0.28908409,0,0,0,1.530694828,Control,Saline,C/S,c-CS-s
50810F_3,0.507564168,0.61227265,0.326874044,2.295597484,4.876593575,0.246642869,0.21145674,3.731769505,0.234404216,1.533061363,0.769335373,0.322794493,0.291007989,0.307666157,0.840557539,0.761176271,1.643889172,1.509094,0.450790413,0.751487336,0.463029067,0.438041815,0.197518273,1.142614312,2.90209077,1.057793643,0.270100289,0.301886792,0.721570627,0.204657488,0.384837668,2.220295767,0.327553969,0.39163692,0.285228625,0.749617542,0.584735679,0.397416284,0.500254972,0.46472888,0.306476288,0.398096209,0.205847357,0.20682112,0.869841901,0.176394551,0.913990256,0.328030228,0.684995526,0.872029432,0.111961818,0.191110669,0.18375261,0.118424978,0.13572636,0.152331709,0.164860296,0.123297206,0.200258526,0.111961818,0.385701501,0.221040072,1.208412051,2.192999901,0.150541911,0.97136323,0.636770409,0.18434921,0,0,0.118424978,0.093765536,0.258625833,0,0,0,1.521328428,Control,Saline,C/S,c-CS-s
50810F_4,0.492403315,0.658379374,0.3393186,2.446823204,4.613029466,0.27325046,0.218692449,4.184162063,0.261279926,1.540285451,0.735957643,0.355432781,0.336095764,0.330801105,0.859576427,0.811003683,1.72053407,1.505294659,0.494475138,0.752762431,0.495626151,0.467311234,0.223526703,1.091620626,2.832412523,1.113259669,0.301335175,0.323434622,0.766804788,0.247007366,0.408379374,2.271178637,0.362799263,0.41781768,0.330570902,0.770027624,0.634208103,0.435543278,0.57320442,0.491712707,0.352900552,0.460635359,0.252071823,0.194683639,0.826906277,0.180207163,0.940346936,0.304879571,0.621739673,0.908149257,0.107325596,0.181455135,0.183327093,0.108074379,0.137776114,0.145263946,0.152502184,0.128166729,0.192686884,0.108323974,0.35579683,0.229127668,1.157618869,2.039810308,0.144265568,1.115063023,0.611381505,0.17546487,0,0,0.108074379,0.111443904,0.295769375,0,0,0,1.452389866,Control,Saline,C/S,c-CS-s
50810F_5,0.487711387,0.610146561,0.342953777,2.398647125,4.66854566,0.273055242,0.206538895,4.057722661,0.253213078,1.514092446,0.708455468,0.364825254,0.315219842,0.356257046,0.819391206,0.799549042,1.729650507,1.520631342,0.478015784,0.729425028,0.481397971,0.491093574,0.216234498,1.082074408,2.840586246,1.091319053,0.286358512,0.288162345,0.755580609,0.217136415,0.402931229,2.252987599,0.33957159,0.395941375,0.324464487,0.774520857,0.604058625,0.393686584,0.563472379,0.484780158,0.33167982,0.407666291,0.227508455,0.197986577,0.850929272,0.192307692,0.980769231,0.313887455,0.643520909,0.910428498,0.112028911,0.189726381,0.192436758,0.113835829,0.139390811,0.13590604,0.152297367,0.140036138,0.199406298,0.110996386,0.368998451,0.23864223,1.220831182,2.077181208,0.145973154,1.033815178,0.638874548,0.183789365,0,0,0.113835829,0.098477026,0.345250387,0,0,0,1.49535364,Control,Saline,C/S,c-CS-s
50810F_6,0.454247652,0.616073378,0.334570867,2.295697751,4.393972483,0.257261411,0.20484822,3.968333697,0.249181044,1.447259227,0.686831186,0.336536362,0.294824197,0.311858484,0.816772221,0.759991264,1.713692946,1.499890806,0.462546408,0.714348111,0.461891243,0.471937104,0.210089539,1.027298537,2.671980782,1.10111378,0.273203756,0.279755405,0.72985368,0.21249181,0.386110504,2.146756934,0.3264905,0.420615855,0.329329548,0.751037344,0.601222974,0.395501201,0.523476742,0.451626993,0.316663027,0.3917886,0.242192618,0.196965834,0.871111678,0.181540031,0.948623151,0.31527282,0.638449771,0.819862315,0.103008669,0.17618562,0.178352881,0.110530342,0.141381948,0.144314125,0.151835798,0.126338603,0.190973993,0.107215706,0.391509434,0.238398776,1.24872514,2.128378378,0.14354921,1.167261601,0.655660377,0.18345232,0,0,0.110530342,0.103136155,0.331336053,0,0,0,1.472335543,Control,Saline,C/S,c-CS-s
50810F_7,0.403750689,0.556811914,0.313292885,2.23248759,4.168781026,0.270546056,0.195532267,3.89547711,0.251792609,1.536679537,0.645890789,0.361003861,0.331770546,0.340319912,0.806674021,0.685052399,1.522062879,1.251241037,0.474076117,0.688086045,0.477937121,0.464147821,0.196359625,0.982901269,2.560672918,1.040540541,0.28819636,0.308328737,0.731936018,0.227523442,0.370656371,2.081081081,0.348869277,0.421676779,0.339492554,0.740485383,0.624931054,0.374517375,0.514892443,0.444015444,0.337286266,0.407060121,0.246001103,0.168802698,0.796795953,0.196458685,0.97841484,0.29005059,0.603878583,0.839460371,0.103878583,0.191568297,0.178246206,0.103541315,0.133726813,0.131028668,0.142158516,0.143001686,0.181112985,0.112816189,0.372849916,0.239966273,1.142664418,2.017369309,0.160876897,1.103035413,0.636593592,0.193591906,0,0,0.103541315,0.10455312,0.358853288,0,0,0,1.413659359,Control,Saline,C/S,c-CS-s
50810F_8,0.409276944,0.545702592,0.309686221,2.232469304,3.765893588,0.275579809,0.18526603,3.862755798,0.25047749,1.526875853,0.632742156,0.334515689,0.303410641,0.351159618,0.784720327,0.670668486,1.546248295,1.313506139,0.456207367,0.664120055,0.473124147,0.467667121,0.196452933,0.93888131,2.448294679,1.077489768,0.284583902,0.308049113,0.711869031,0.222100955,0.367803547,2.064120055,0.351432469,0.392087312,0.32633015,0.735061392,0.622100955,0.365075034,0.530695771,0.443110505,0.340518417,0.384174625,0.236016371,0.183108463,0.865954091,0.204836166,1.041352725,0.310846329,0.621692658,0.83301209,0.10793762,0.195899772,0.178903101,0.111617312,0.139477834,0.147362888,0.150867356,0.14438409,0.187839495,0.108638514,0.386718066,0.238479061,1.217802698,2.102155248,0.153846154,1.188890836,0.680918171,0.193446644,0,0,0.111617312,0.114420887,0.371123182,0,0,0,1.527948134,Control,Saline,C/S,c-CS-s
50810F_9,0.446604677,0.555649479,0.336996337,2.267962806,3.794308256,0.282614821,0.199492815,3.978303748,0.263736264,1.509721048,0.645533953,0.334742181,0.313045928,0.338405185,0.82107636,0.71682164,1.574528036,1.370808679,0.476754015,0.695688926,0.489151874,0.463792618,0.199774584,0.969568893,2.480135249,1.088475627,0.285432516,0.306001691,0.732882502,0.233868695,0.376725838,2.149901381,0.357001972,0.424063116,0.346012961,0.782755706,0.663848972,0.382924768,0.539588617,0.466046774,0.332206255,0.383770076,0.234432234,0.172089041,0.835616438,0.205136986,0.957876712,0.316438356,0.605136986,0.77380137,0.099315068,0.181849315,0.17380137,0.108390411,0.147945205,0.12619863,0.144178082,0.136815068,0.189041096,0.102910959,0.425513699,0.255821918,1.232876712,2.106678082,0.163356164,1.111986301,0.667636986,0.165582192,0,0,0.108390411,0.10119863,0.360958904,0,0,0,1.433219178,Control,Saline,C/S,c-CS-s
50810F_10,0.413499112,0.545293073,0.329662522,2.240142096,3.707992895,0.306927176,0.258259325,3.818117229,0.284547069,1.625577265,0.597158082,0.346358792,0.336412078,0.359147425,0.773357016,0.735346359,0.337477798,1.13357016,0.512255773,0.637300178,0.556660746,0.514031972,0.246891652,0.952042629,2.313321492,1.048312611,0.307282416,0.336056838,0.222024867,0.255417407,0.48348135,1.804262877,0.451154529,0.467850799,0.364120782,0.795381883,0.678507993,0.390053286,0.555595027,0.482060391,0.374422735,0.443694494,0.251154529,0.169660247,0.751136118,0.203419173,0.968837914,0.281540792,0.590564813,0.806102575,0.093702662,0.206448821,0.174637524,0.094784679,0.135035707,0.11793984,0.139580177,0.17117507,0.183726466,0.093702662,0.393637741,0.267258169,1.157541658,1.969919931,0.191949794,1.197576282,0.639904783,0.206448821,0,0,0.094784679,0.134819303,0.353386713,0,0,0,1.428478684,Control,Saline,C/S,c-CS-s
50810F_11,0.393096515,0.506367292,0.303954424,2.169235925,3.417560322,0.292225201,0.20810992,3.700737265,0.269101877,1.478217158,0.559316354,0.329088472,0.297922252,0.349865952,0.742627346,0.693364611,0.301608579,1.184316354,0.477546917,0.608914209,0.452412869,0.439008043,0.231233244,0.899798928,2.217493298,1.024798928,0.28116622,0.284852547,0.210455764,0.237935657,0.529490617,1.747654155,0.443364611,0.415884718,0.3230563,0.741286863,0.648458445,0.374664879,0.521447721,0.464142091,0.335455764,0.404155496,0.27077748,0.16761488,0.79868709,0.214004376,0.971334792,0.287964989,0.577899344,0.783150985,0.1,0.20809628,0.164551422,0.100875274,0.1297593,0.12166302,0.144201313,0.148796499,0.198468271,0.104814004,0.434135667,0.26761488,1.190153173,2.024070022,0.164551422,1.196280088,0.663676149,0.213129103,0,0,0.100875274,0.119256018,0.385776805,0,0,0,1.43107221,Control,Saline,C/S,c-CS-s
50810F_12,0.390873016,0.512566138,0.296296296,2.112433862,3.481481481,0.284722222,0.198743386,3.588624339,0.266865079,1.470238095,0.538359788,0.308201058,0.340939153,0.387566138,0.765542328,0.595899471,0.314484127,1.166666667,0.459656085,0.618716931,0.455687831,0.445436508,0.209986772,0.860449735,2.138227513,0.151124339,0.279431217,0.316137566,0.198743386,0.240740741,0.493386243,1.672619048,0.401455026,0.422949735,0.349537037,0.74239418,0.634259259,0.346230159,0.550925926,0.447751323,0.367724868,0.390542328,0.254960317,0.16612519,0.800303227,0.205977908,0.947368421,0.282651072,0.595841455,0.727095517,0.089885207,0.198180637,0.164609053,0.10569634,0.141217241,0.121724063,0.146848603,0.150530648,0.170890188,0.089452025,0.454624215,0.261425168,1.200129955,2.021875677,0.180203595,1.18128655,0.677063028,0.180420186,0,0,0.10569634,0.096599524,0.363439463,0,0,0,1.367338098,Control,Saline,C/S,c-CS-s
50810F_13,0.350443844,0.456194519,0.356233115,1.959475106,2.934774218,0.290621382,0.192589734,3.19143188,0.255885758,1.640679274,0.504052489,0.333847935,0.294866847,0.338865303,0.686607487,0.564260903,1.305673485,0.966036279,0.48745658,0.578155152,0.535700502,0.489772289,0.244307217,0.860671555,1.885372443,0.895021227,0.312234658,0.27325357,0.642994983,0.250096488,0.452720957,1.61134697,0.415283674,0.431493632,0.395986106,0.766885372,0.70436125,0.36626785,0.575839444,0.438826708,0.357005017,0.397529911,0.252412196,0.154053246,0.795393359,0.243493868,1.020640144,0.23781035,0.586598863,0.739156446,0.0975172,0.233622495,0.152557583,0.108884236,0.122644331,0.128327849,0.154352378,0.178282979,0.14029315,0.093030212,0.514507927,0.296141191,1.218067604,2.04038289,0.19862399,1.33413102,0.716123243,0.232126832,0,0,0.108884236,0.146874065,0.489380796,0,0,0,1.421178582,Control,Saline,C/S,c-CS-s
50810F_14,0.399414471,0.496445002,0.368883312,2.116687578,2.801756587,0.314094521,0.230029276,3.525721455,0.291091593,1.643245504,0.563780845,0.35131744,0.30154747,0.356754496,0.78460895,0.606022585,1.43161857,1.181514011,0.526139691,0.64868256,0.495190297,0.531994981,0.26265161,0.989962359,2.03973233,0.973651192,0.296528649,0.287327478,0.700543706,0.281472187,0.519866165,1.794646591,0.429945629,0.461731493,0.447093266,0.819740694,0.73818486,0.39272271,0.590129653,0.458385613,0.407779172,0.43496445,0.25846926,0.168748096,0.832165702,0.222966799,1.069144076,0.293329272,0.625951873,0.726165093,0.093816631,0.221748401,0.146512336,0.104477612,0.140115748,0.117879988,0.140115748,0.139201949,0.174840085,0.107828206,0.491623515,0.299421261,1.23880597,2.052086506,0.21657021,1.246116357,0.723728297,0.224489796,0,0,0.104477612,0.146512336,0.50563509,0,0,0,1.47791654,Control,Saline,C/S,c-CS-s
50810F_15,0.347809668,0.46978852,0.344410876,1.916918429,2.724697885,0.311178248,0.197129909,3.182779456,0.274924471,1.486782477,0.477719033,0.313821752,0.224320242,0.344033233,0.70694864,0.561555891,1.21978852,1.061178248,0.454305136,0.564954683,0.452416918,0.509441088,0.228851964,0.825528701,1.880664653,0.871223565,0.273036254,0.250755287,0.63897281,0.264350453,0.447129909,1.54305136,0.365181269,0.46336858,0.372356495,0.752643505,0.671072508,0.342522659,0.519259819,0.432024169,0.340634441,0.369712991,0.248867069,0.149476831,0.864275037,0.22690583,1.004484305,0.291180867,0.632286996,1.3754858,0.11180867,0.199701046,0.142301943,0.118983558,0.126756353,0.126158445,0.153363229,0.150373692,0.168011958,0.092077728,0.501943199,0.298355755,1.240059791,2.086098655,0.211958146,1.30284006,0.736621824,0.206875934,0,0,0.118983558,0.161434978,0.492376682,0,0,0,1.453512706,Control,Saline,C/S,c-CS-s
